ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,"Видимость в каталоге","Краткое описание",Описание,"Дата начала действия продажной цены","Дата окончания действия продажной цены","Статус налога","Налоговый класс","В наличии?",Запасы,"Величина малых запасов","Возможен ли предзаказ?","Продано индивидуально?","Вес (kg)","Длина (cm)","Ширина (cm)","Высота (cm)","Разрешить отзывы от клиентов?","Примечание к покупке","Цена распродажи","Базовая цена",Категории,Метки,"Класс доставки",Изображения,"Лимит загрузок","Число дней до просроченной загрузки",Родительский,"Сгруппированные товары",Апсейл,Кросселы,"Внешний URL","Текст кнопки",Позиция,"Имя атрибута 1","Значение(-я) аттрибута(-ов) 1","Видимость атрибута 1","Глобальный атрибут 1","Имя атрибута 2","Значение(-я) аттрибута(-ов) 2","Видимость атрибута 2","Глобальный атрибут 2"
205,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN LUPO 1998-2005",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Lupo,,,,,,,,,,,,0,,,,,,,,
206,simple,,"КОВРИКИ В САЛОН VW MULTIVAN (T6.1) 2019 - Н.В (ДЛИННАЯ БАЗА)",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Multivan,,,,,,,,,,,,0,,,,,,,,
207,simple,,"КОВРИКИ В САЛОН VW MULTIVAN (T6.1) 2019 - Н.В (КОРОТКАЯ БАЗА)",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Multivan,,,,,,,,,,,,0,,,,,,,,
208,simple,,"КОВРИКИ В САЛОН VW MULTIVAN (Т5/T6) 2015 - Н.В (КОРОТКАЯ БАЗА) ВЕСЬ САЛОН (1 ДВЕРЬ, БЕЗ СТОЛИКА, БЕЗ ПОДСТАКАННИКОВ НА 2 РЯДУ)",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Multivan,,,,,,,,,,,,0,,,,,,,,
209,simple,,"КОВРИКИ В САЛОН VW MULTIVAN (Т5/T6) 2015 - Н.В (КОРОТКАЯ БАЗА) ВЕСЬ САЛОН (1/2 ДВЕРИ, СО СТОЛИКОМ/ БЕЗ СТОЛИКА)",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Multivan,,,,,,,,,,,,0,,,,,,,,
210,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN PASSAT B3 1988 - 1993",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Passat,,,,,,,,,,,,0,,,,,,,,
211,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN PASSAT B4 1993 - 1996",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Passat,,,,,,,,,,,,0,,,,,,,,
212,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN PASSAT B5 + (УНИВЕРСАЛ) 2000 - 2005",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Passat,,,,,,,,,,,,0,,,,,,,,
213,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN PASSAT B5 1996 - 2001",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Passat,,,,,,,,,,,,0,,,,,,,,
214,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN PASSAT B6 2005 - 2010",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Passat,,,,,,,,,,,,0,,,,,,,,
